"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"ARTNIRMAN","72.24","79.90","7.66","10.60","79.90","5,764","0.05","-","97.70","47.50"
"SETCO","12.22","13.44","1.22","9.98","13.44","3,662","-","-","15.82","6.15"
"ONELIFECAP","17.08","18.74","1.66","9.72","18.74","30","-","-","33.25","13.00"
"TPHQ","1.48","1.62","0.14","9.46","1.62","60,380","0.01","-","1.86","1.00"
"SHREEOSFM","133.60","144.95","11.35","8.50","144.95","2,000","0.03","-","215.00","63.00"
"KRIDHANINF","4.80","5.20","0.40","8.33","5.20","23,976","0.01","-","7.55","2.45"
"HBSL","97.32","105.00","7.68","7.89","105.00","100","-","-","186.02","68.70"
"CHEMFAB","1,011.65","1,090.00","78.35","7.74","1,090.00","1,681","0.18","-","1,230.00","353.60"
"ICDSLTD","50.06","53.90","3.84","7.67","53.90","256","-","-","63.45","32.50"
"GUJAPOLLO","341.80","367.90","26.10","7.64","367.90","1,910","0.07","-","414.70","211.35"
"KODYTECH","3,239.95","1,740.00","120.05","7.41","1,740.00","300","0.05","-","4,175.00","293.00"
"DBEIL","174.90","184.45","9.55","5.46","184.45","35,998","0.66","-","200.00","139.10"
"SICALLOG","151.00","158.55","7.55","5.00","158.55","212","-","-","298.25","118.83"
"C2C","497.00","521.85","24.85","5.00","521.85","46,800","2.44","-","497.00","429.40"
"MASKINVEST","252.65","265.28","12.63","5.00","265.28","504","0.01","-","252.65","61.45"
"MASON","129.05","135.50","6.45","5.00","135.50","1,000","0.01","-","218.75","83.60"
"THOMASCOTT","266.58","279.90","13.32","5.00","279.90","6,833","0.19","-","360.20","180.15"
"MCLEODRUSS","45.84","48.13","2.29","5.00","48.13","68,600","0.33","-","46.01","21.10"
"EMAMIREAL","129.32","135.78","6.46","5.00","135.78","8,605","0.12","-","152.15","79.35"
"NAGREEKCAP","41.84","43.93","2.09","5.00","43.93","88","-","-","42.60","14.35"
"MIEL","51.05","53.60","2.55","5.00","53.60","8,000","0.04","-","123.10","41.00"
"UEL","525.55","551.80","26.25","4.99","551.80","12","-","-","709.05","20.68"
"JPASSOCIAT","7.21","7.57","0.36","4.99","7.57","6,087","-","-","27.15","5.95"
"HUBTOWN","308.45","323.85","15.40","4.99","323.85","15,580","0.50","-","344.30","78.00"
"TARAPUR","37.86","39.75","1.89","4.99","39.75","1,531","0.01","-","37.86","5.00"
"DCAL","265.55","278.80","13.25","4.99","278.80","48,527","1.35","-","283.00","133.00"
